,pH,Sodium,Magnesium,Calcium,Chloride,Potassium,Carbonate,Sulphate,TDS,EC,TH,WQI,label
0,7.26,77.51,32.55,81.4,63.55,1.95,419.68,68.16,640.0,1045.0,338.0,70.51,0
1,7.54,36.11,31.1,42.4,19.53,1.56,273.28,57.12,400.0,645.0,234.0,48.31,0
2,7.66,119.37,19.0,58.2,60.71,1.17,195.2,220.8,640.0,998.0,224.0,55.7,0
3,5.98,117.07,29.65,145.4,37.28,2.73,580.72,190.08,950.0,1516.0,486.0,97.02,0
4,7.02,45.08,23.35,49.6,23.43,1.17,248.88,74.88,410.0,658.0,220.0,46.45,0
5,6.97,73.37,33.03,50.4,35.15,2.34,346.48,83.04,540.0,875.0,262.0,58.79,0
6,7.16,121.9,29.65,67.8,47.22,1.17,195.2,310.08,740.0,1153.0,292.0,63.31,0
7,7.34,54.05,16.58,56.6,24.5,1.17,297.68,45.12,420.0,676.0,210.0,48.35,0
8,7.27,55.2,25.29,68.6,45.09,1.95,307.44,74.88,510.0,817.0,276.0,57.01,0
9,7.21,59.8,32.55,57.4,31.24,3.12,341.6,80.16,530.0,848.0,278.0,59.62,0
10,7.58,64.63,30.61,44.8,27.34,2.73,307.44,81.12,490.0,786.0,238.0,54.51,0
11,7.13,80.96,27.71,98.2,66.74,1.95,458.72,60.0,680.0,1098.0,360.0,74.68,0
12,7.36,23.23,34.0,42.4,15.62,1.17,263.52,52.8,370.0,613.0,246.0,47.11,0
13,7.22,62.1,26.26,55.2,32.31,1.56,326.96,61.92,490.0,788.0,246.0,54.58,0
14,7.31,37.95,20.45,68.6,29.47,1.56,307.44,39.84,430.0,698.0,256.0,52.13,0
15,7.26,67.39,21.9,63.0,27.34,1.56,297.68,104.16,510.0,815.0,248.0,54.66,0
16,7.35,82.57,14.64,40.8,29.47,1.56,263.52,79.2,440.0,706.0,162.0,45.76,0
17,7.32,25.99,9.68,39.2,13.85,0.78,180.56,24.96,250.0,402.0,138.0,32.45,0
18,7.43,32.2,7.74,48.0,22.72,0.78,195.2,26.88,280.0,458.0,152.0,35.47,0
19,7.51,41.4,7.74,46.4,14.56,1.17,195.2,52.8,310.0,494.0,148.0,36.59,0
20,7.47,114.77,24.32,81.4,47.22,1.56,258.64,260.16,730.0,1143.0,304.0,66.46,0
21,7.44,28.29,8.71,41.6,15.62,0.78,185.44,24.0,260.0,417.0,140.0,33.26,0
22,7.33,105.8,20.45,59.0,34.44,1.17,278.16,172.8,610.0,962.0,232.0,57.06,0
23,7.46,21.85,10.65,47.2,10.65,0.78,204.96,23.04,270.0,434.0,162.0,35.57,0
24,7.07,46.92,21.42,60.6,31.24,1.56,287.92,57.12,440.0,707.0,240.0,50.64,0
25,7.32,33.81,7.74,52.0,16.69,0.78,165.92,70.08,310.0,490.0,162.0,35.9,0
26,7.24,29.9,10.16,57.4,25.56,0.78,190.32,54.24,320.0,518.0,186.0,38.78,0
27,7.37,78.66,14.16,41.6,31.24,0.78,200.08,116.16,440.0,693.0,162.0,42.79,0
28,7.36,126.73,33.03,65.4,51.12,1.95,263.52,271.2,760.0,1190.0,300.0,67.74,0
29,7.42,25.3,8.23,39.2,15.62,0.78,175.68,19.2,240.0,390.0,132.0,31.65,0
30,7.33,5.75,21.78,90.0,17.75,0.0,335.5,25.44,430.0,672.0,315.0,54.65,0
31,7.47,4.6,20.57,78.0,14.2,0.0,311.1,13.44,376.0,587.0,280.0,49.69,0
32,7.48,4.6,16.94,76.0,10.65,0.0,292.8,13.44,354.0,553.0,260.0,46.91,0
33,8.07,5.75,12.1,64.0,10.65,0.0,189.1,49.44,292.0,457.0,210.0,38.62,0
34,7.19,25.07,18.15,90.0,28.4,0.0,335.5,36.96,465.0,715.0,300.0,55.31,0
35,7.38,20.01,14.52,80.0,24.85,0.0,305.0,16.8,395.0,617.0,260.0,49.26,0
36,8.03,4.6,20.57,58.0,14.2,0.0,244.0,18.24,316.0,493.0,230.0,42.36,0
37,8.15,6.44,29.04,58.0,17.75,0.0,262.3,36.48,365.0,570.0,265.0,47.21,0
38,7.7,7.36,18.15,90.0,17.75,0.0,305.0,38.4,412.0,644.0,300.0,52.52,0
39,7.71,2.76,16.94,56.0,10.65,0.0,225.7,14.4,272.0,425.0,210.0,38.76,0
40,7.55,8.97,33.88,92.0,17.75,0.0,408.7,27.36,519.0,798.0,370.0,63.82,0
41,8.28,3.68,16.94,62.0,10.65,0.0,244.0,16.32,306.0,478.0,225.0,41.93,0
42,7.62,2.76,18.15,54.0,10.65,0.0,225.7,14.4,283.0,442.0,210.0,38.83,0
43,7.81,4.6,16.94,76.0,10.65,0.0,280.6,23.04,351.0,548.0,260.0,46.79,0
44,8.04,3.68,19.36,54.0,10.65,0.0,231.8,16.32,295.0,461.0,215.0,40.14,0
45,8.06,6.44,12.1,58.0,10.65,0.0,219.6,12.48,274.0,428.0,195.0,37.88,0
46,7.71,1.38,15.73,52.0,7.1,0.0,213.5,11.52,265.0,414.0,195.0,36.71,0
47,7.45,5.75,21.78,80.0,14.2,0.0,305.0,30.24,393.0,614.0,290.0,50.79,0
48,7.68,4.6,16.94,72.0,10.65,0.0,280.6,13.44,342.0,534.0,250.0,45.56,0
49,7.65,4.6,16.94,80.0,14.2,0.0,298.9,13.44,367.0,573.0,270.0,48.44,0
50,7.97,5.75,25.41,76.0,14.2,0.0,305.0,35.04,401.0,626.0,295.0,51.82,0
51,7.71,4.6,19.36,70.0,10.65,0.0,262.3,32.64,346.0,540.0,255.0,45.51,0
52,7.35,11.73,33.88,100.0,24.85,0.0,408.7,42.72,550.0,846.0,390.0,66.32,0
53,7.46,3.68,16.94,60.0,10.65,0.0,244.0,11.52,302.0,472.0,220.0,40.61,0
54,7.66,2.76,18.15,50.0,7.1,0.0,225.7,9.6,269.0,420.0,200.0,37.66,0
55,7.28,9.89,25.41,84.0,21.3,0.0,347.7,19.68,438.0,685.0,315.0,55.41,0
56,8.18,2.07,10.89,66.0,10.65,0.0,225.7,12.96,284.0,444.0,210.0,39.45,0
57,7.73,4.6,13.31,90.0,14.2,0.0,305.0,18.24,381.0,596.0,280.0,49.97,0
58,7.51,3.68,15.73,68.0,7.1,0.0,268.4,11.52,319.0,499.0,235.0,43.14,0
59,8.0,5.06,26.62,70.0,14.2,0.0,317.2,14.4,384.0,600.0,285.0,50.92,0
60,7.3,14.95,42.35,104.0,31.95,0.0,378.2,107.04,614.0,944.0,435.0,70.81,0
61,7.58,3.68,24.2,60.0,10.65,0.0,274.5,16.32,336.0,525.0,250.0,44.97,0
62,7.63,5.75,12.1,60.0,10.65,0.0,219.6,15.84,281.0,439.0,200.0,38.01,0
63,7.74,2.76,16.94,54.0,10.65,0.0,219.6,14.4,276.0,432.0,205.0,38.18,0
64,7.27,25.07,22.99,80.0,24.85,0.0,359.9,17.76,463.0,712.0,295.0,55.52,0
65,7.54,3.68,24.2,56.0,10.65,0.0,262.3,16.32,323.0,505.0,240.0,43.38,0
66,7.54,4.6,25.41,74.0,10.65,0.0,323.3,18.24,388.0,607.0,290.0,51.19,0
67,7.56,7.36,25.41,74.0,14.2,0.0,329.4,14.4,401.0,627.0,290.0,51.85,0
68,7.83,2.76,15.73,54.0,10.65,0.0,213.5,14.4,268.0,418.0,200.0,37.48,0
69,7.29,7.36,24.2,82.0,17.75,0.0,341.6,14.4,420.0,656.0,305.0,53.77,0
70,7.84,7.36,10.89,60.0,10.65,0.0,219.6,14.4,275.0,430.0,195.0,37.79,0
71,7.74,8.97,20.57,76.0,10.65,0.0,305.0,27.36,383.0,598.0,275.0,49.73,0
72,7.42,5.75,25.41,74.0,17.75,0.0,317.2,15.84,392.0,612.0,290.0,51.08,0
73,7.63,4.6,22.99,70.0,10.65,0.0,298.9,18.24,364.0,569.0,270.0,48.25,0
74,7.46,5.75,24.2,68.0,17.75,0.0,292.8,15.84,372.0,581.0,270.0,48.14,0
75,7.58,4.6,22.99,80.0,10.65,0.0,329.4,18.24,397.0,620.0,295.0,52.08,0
76,7.56,7.36,24.2,78.0,14.2,0.0,335.5,14.4,405.0,633.0,295.0,52.61,0
77,7.53,8.97,18.15,84.0,17.75,0.0,317.2,17.76,398.0,622.0,285.0,51.2,0
78,7.34,3.68,21.78,60.0,10.65,0.0,262.3,16.32,324.0,506.0,240.0,43.25,0
79,7.87,2.76,24.2,48.0,10.65,0.0,237.9,14.4,274.0,428.0,220.0,40.15,0
80,7.34,4.6,19.36,70.0,10.65,0.0,280.6,18.24,344.0,538.0,255.0,45.71,0
81,7.62,7.36,18.15,48.0,10.65,0.0,219.6,14.4,279.0,436.0,195.0,37.51,0
82,7.59,5.75,15.73,58.0,10.65,0.0,231.8,15.84,292.0,457.0,210.0,39.43,0
83,7.57,14.95,38.72,110.0,31.95,0.0,396.5,92.64,616.0,497.0,435.0,69.33,0
84,7.06,6.44,27.83,76.0,10.65,0.0,335.5,26.88,414.0,647.0,305.0,53.08,0
85,7.52,2.76,20.57,48.0,10.65,0.0,219.6,14.4,278.0,435.0,205.0,37.94,0
86,7.33,4.6,25.41,50.0,10.65,0.0,244.0,23.04,312.0,487.0,230.0,41.53,0
87,7.23,9.89,36.3,96.0,17.75,0.0,451.4,14.88,541.0,833.0,390.0,67.16,0
88,7.26,8.05,29.04,88.0,21.3,0.0,305.0,59.04,470.0,723.0,340.0,56.43,0
89,7.21,5.75,29.04,80.0,10.65,0.0,353.8,25.44,431.0,673.0,320.0,55.42,0
90,7.53,432.0,347.0,436.0,406.54,71.0,0.0,4.6,1036.0,1480.0,0.0,224.59,1
91,7.45,553.0,432.0,665.0,1518.9,45.0,0.0,1.0,1690.5,2415.0,450.0,310.76,1
92,7.59,675.0,543.0,453.0,1217.8,33.0,0.0,7.0,2430.4,3472.0,575.0,307.87,1
93,7.5,575.0,674.0,765.0,900.0,39.0,0.0,1.0,3340.4,4772.0,100.0,359.13,1
94,6.93,775.0,990.0,432.0,4700.0,110.0,0.0,200.0,11619.0,16598.0,1400.0,722.69,1
95,7.17,453.0,643.0,543.0,1110.3,53.0,0.0,4.2,1414.0,2020.0,0.0,305.43,1
96,6.92,667.0,643.0,564.0,563.35,45.0,0.0,4.5,2534.0,3620.0,0.0,311.88,1
97,8.02,876.0,643.0,543.0,686.54,23.0,0.0,2.0,1115.1,1593.0,175.0,290.6,1
98,7.75,389.0,222.75,541.0,425.35,33.0,0.0,1.0,1321.6,1888.0,475.0,203.43,1
99,8.02,314.43,543.0,423.0,1310.5,78.0,0.0,100.0,5378.8,7684.0,625.0,373.21,1
100,7.61,1157.8,215.21,445.0,1082.0,90.0,0.0,2.0,1425.2,2036.0,500.0,290.67,1
101,6.82,1066.5,765.0,665.0,1557.8,75.0,0.0,150.0,5412.4,7732.0,825.0,488.67,1
102,7.74,373.09,356.86,453.0,413.44,78.0,0.0,5.2,1820.0,2600.0,0.0,243.41,1
103,6.94,234.0,422.55,345.0,1200.0,54.0,0.0,5.4,1204.7,1721.0,540.0,247.85,1
104,6.8,609.23,290.9,234.0,1160.0,67.0,0.0,19.7,1127.0,1610.0,700.0,239.95,1
105,7.19,343.0,287.84,342.0,0.0,32.0,0.0,0.0,707.0,1010.0,380.0,162.63,1
106,7.57,675.0,316.1,675.0,120.0,52.88,0.0,8.5,1349.6,1928.0,420.0,254.18,1
107,7.53,426.9,465.04,543.0,1040.0,56.0,0.0,125.0,4256.7,6081.0,675.0,338.27,1
108,7.38,335.89,345.83,342.0,920.0,63.0,0.0,25.0,1241.8,1774.0,660.0,241.47,1
109,7.07,347.9,482.88,453.0,624.0,78.0,0.0,5.0,1961.4,2802.0,325.0,282.93,1
110,7.11,280.89,408.11,345.0,3200.0,71.0,0.0,150.0,5667.2,8096.0,500.0,390.32,1
111,7.2,654.45,483.61,347.0,388.0,52.0,0.0,50.0,1302.0,1860.0,350.0,248.96,1
112,7.27,456.67,392.7,439.0,388.0,73.0,0.0,50.0,1302.0,1860.0,350.0,250.57,1
113,7.08,407.23,703.14,1007.0,2320.0,75.0,0.0,80.0,7051.8,10074.0,1100.0,544.25,1
114,6.97,980.81,237.4,654.0,0.0,54.0,0.0,0.0,2044.0,2920.0,700.0,266.77,1
115,7.03,702.89,267.54,345.0,0.0,77.0,0.0,0.0,1582.0,2260.0,640.0,230.8,1
116,7.47,306.9,277.24,453.0,960.0,72.0,0.0,40.0,2205.0,3150.0,900.0,271.45,1
117,7.75,656.9,275.26,654.0,880.0,53.0,0.0,40.0,2128.0,3040.0,880.0,293.03,1
118,7.57,689.03,291.14,654.0,2320.0,43.0,0.0,80.0,2331.0,3330.0,950.0,339.21,1
119,7.38,237.81,402.83,564.0,560.0,47.0,0.0,43.0,1201.9,1717.0,420.0,243.7,1
120,7.11,345.9,369.31,1158.0,2320.0,93.0,0.0,150.0,4346.3,6209.0,750.0,462.24,1
121,6.88,758.07,675.09,456.6,1840.0,98.0,0.0,200.0,6934.9,9907.0,400.0,470.27,1
122,7.38,934.89,287.84,456.0,1314.4,45.0,0.0,0.0,1092.0,1560.0,340.0,257.86,1
123,6.83,403.65,316.1,702.9,307.81,57.0,0.0,0.4,861.0,1230.0,0.0,233.04,1
124,8.3,278.01,160.56,758.1,436.54,54.0,0.0,0.9,784.0,1120.0,0.0,207.58,1
125,7.1,389.01,184.23,904.9,265.35,58.0,0.0,8.8,834.4,1192.0,482.0,246.96,1
126,7.1,323.09,188.55,506.8,467.77,61.0,0.0,8.8,834.4,1192.0,482.0,204.9,1
127,7.85,200.78,267.95,889.0,624.43,62.0,0.0,3.9,763.0,1090.0,0.0,250.53,1
128,7.13,567.04,257.5,979.4,211.81,43.0,0.0,12.7,868.0,1240.0,0.0,250.42,1
129,7.18,484.09,262.8,654.5,848.35,64.0,0.0,4.6,833.0,1190.0,0.0,242.8,1
130,7.73,403.65,350.45,234.0,1186.9,65.0,0.0,7.0,815.5,1165.0,248.0,222.93,1
131,8.11,334.89,695.17,345.0,177.88,53.0,0.0,2.5,815.5,1165.0,220.0,255.7,1
132,8.21,334.9,522.55,456.0,784.43,30.0,0.0,8.0,835.1,1193.0,260.0,240.43,1
133,7.89,526.78,390.9,567.0,1757.8,59.0,0.0,1.2,882.0,1260.0,328.0,292.48,1
134,7.08,489.02,387.84,389.0,666.54,60.0,0.0,0.0,700.0,1000.0,480.0,237.38,1
135,7.27,209.78,416.1,29.01,1657.8,55.0,0.0,0.0,672.0,960.0,360.0,208.56,1
136,7.51,403.09,287.84,239.4,1246.8,75.0,0.0,13.8,801.5,1145.0,500.0,228.91,1
137,7.28,298.01,316.1,207.1,614.43,53.0,0.0,7.8,987.0,1410.0,460.0,190.81,1
138,7.3,178.9,460.56,373.1,157.81,75.0,0.0,11.8,964.6,1378.0,420.0,233.15,1
139,7.27,302.82,384.23,407.0,1566.5,61.0,0.0,5.8,814.8,1164.0,560.0,262.93,1
140,7.3,909.37,488.55,609.2,1890.6,71.0,0.0,3.9,966.0,1380.0,660.0,356.69,1
141,7.14,314.43,367.95,176.5,199.8,64.0,0.0,16.7,1092.0,1560.0,920.0,208.61,1
142,7.18,767.81,158.45,345.9,80.0,66.0,0.0,8.0,884.1,1263.0,420.0,191.11,1
143,7.4,666.54,109.08,126.9,0.0,37.0,0.0,0.0,714.0,1020.0,460.0,125.28,0
144,7.4,252.35,107.94,135.9,0.0,68.0,0.0,0.0,763.0,1090.0,440.0,130.96,0
145,8.54,506.8,118.53,334.9,33.0,16.09,0.0,18.0,536.9,767.0,360.0,125.78,0
146,8.46,206.8,60.21,28.89,32.0,19.15,0.0,7.0,488.6,698.0,140.0,59.06,0
147,6.99,403.9,69.09,54.45,0.0,12.77,0.0,0.0,700.0,1000.0,400.0,76.52,0
148,8.41,123.0,70.71,56.67,37.0,22.71,0.0,17.0,650.3,929.0,188.0,67.42,0
149,6.41,176.0,62.98,40.23,44.0,16.0,0.0,5.0,924.7,1321.0,164.0,62.92,0
150,7.05,198.0,181.35,107.8,0.0,23.0,0.0,28.4,833.0,1190.0,0.0,92.26,0
151,7.04,120.0,147.26,107.2,0.0,15.0,0.0,50.0,560.0,800.0,400.0,84.74,0
152,6.41,217.0,151.18,178.6,44.0,11.0,0.0,5.0,924.7,1321.0,164.0,93.8,0
153,6.77,127.0,89.03,27.01,0.0,15.0,0.0,0.0,819.0,1170.0,560.0,72.37,0
154,7.02,120.0,100.32,38.01,0.0,23.0,0.0,0.0,714.0,1020.0,480.0,77.71,0
155,6.77,187.0,103.96,23.09,0.0,22.0,0.0,0.0,819.0,1170.0,560.0,82.64,0
156,7.25,90.0,103.22,20.78,0.0,12.09,0.0,5.8,630.0,900.0,0.0,51.02,0
157,7.38,87.0,109.17,70.89,0.0,22.98,0.0,4.6,840.0,1200.0,0.0,69.59,0
158,7.38,43.0,65.31,84.09,0.0,20.67,0.0,0.0,994.0,1420.0,580.0,79.3,0
159,6.99,124.0,138.49,43.65,25.0,21.02,0.0,28.0,462.0,660.0,300.0,75.97,0
160,6.62,137.0,151.06,70.89,20.0,16.9,0.0,5.0,359.1,513.0,288.0,76.18,0
161,6.58,156.0,62.95,36.9,18.0,14.99,0.0,22.0,304.5,435.0,280.0,54.6,0
162,7.45,167.0,109.08,66.9,22.0,25.02,0.0,12.0,364.0,520.0,244.0,75.29,0
163,7.27,178.0,174.39,68.03,0.0,22.5,0.0,0.0,686.0,980.0,420.0,95.07,0
164,7.57,188.0,129.68,27.81,40.0,10.0,0.0,15.0,596.4,852.0,208.0,67.03,0
165,7.19,109.0,181.08,45.9,0.0,23.65,0.0,0.0,707.0,1010.0,380.0,90.37,0
166,7.9,108.0,153.04,75.07,0.0,22.6,0.0,1.5,347.2,496.0,0.0,71.67,0
167,7.19,178.0,96.56,94.89,0.0,15.9,0.0,1.0,399.0,570.0,0.0,62.02,0
168,7.02,54.0,98.55,34.9,25.0,14.09,0.0,12.0,600.6,858.0,380.0,63.49,0
169,6.95,98.0,281.42,56.78,12.0,10.94,0.0,15.0,275.8,394.0,188.0,87.84,0
170,7.27,76.0,260.69,89.02,25.0,25.98,0.0,13.0,575.4,822.0,300.0,106.98,0
171,7.68,54.0,96.13,20.78,20.0,11.08,0.0,9.0,396.2,566.0,240.0,52.11,0
172,3.7,65.0,53.76,40.09,25.0,16.92,0.0,0.2,505.4,722.0,260.0,50.2,0
173,7.51,50.0,54.55,98.01,32.0,17.0,0.0,7.0,513.1,733.0,188.0,58.59,0
174,7.4,167.0,55.33,178.9,35.0,12.75,0.0,21.0,570.5,815.0,180.0,71.51,0
175,7.7,32.0,56.12,30.82,45.0,25.16,0.0,14.0,668.5,955.0,180.0,58.92,0
176,7.05,63.0,56.91,79.37,25.0,19.15,0.0,25.0,508.9,727.0,300.0,61.99,0
177,9.08,86.0,57.69,31.44,20.0,17.77,0.0,9.0,375.2,536.0,224.0,53.45,0
178,10.01,187.0,58.48,34.89,22.0,22.71,0.0,5.0,385.0,550.0,364.0,67.59,0
179,7.0,65.0,59.27,32.0,45.0,15.42,0.0,61.0,556.5,795.0,460.0,60.73,0
180,7.62,43.0,60.06,29.36,24.0,12.98,0.0,7.0,461.3,659.0,264.0,49.28,0
181,7.63,33.0,60.84,32.09,23.0,11.0,0.0,2.0,431.9,617.0,316.0,48.82,0
182,8.34,145.0,61.63,55.01,28.0,8.09,0.0,3.0,535.5,765.0,368.0,58.61,0
183,7.61,122.0,62.42,43.01,24.0,7.0,0.0,2.0,481.6,688.0,364.0,53.66,0
184,8.1,57.0,63.2,43.98,28.0,6.0,0.0,9.0,475.3,679.0,320.0,49.49,0
185,8.22,96.0,63.99,22.56,30.0,11.03,0.0,7.0,559.3,799.0,340.0,54.64,0
186,8.41,56.0,64.78,49.01,29.0,19.63,0.0,5.0,496.3,709.0,324.0,61.36,0
187,8.09,78.0,65.56,88.0,23.0,9.0,0.0,7.0,428.4,612.0,288.0,56.6,0
188,8.44,87.0,66.35,25.36,31.0,7.09,0.0,9.0,566.3,809.0,364.0,53.12,0
189,8.22,90.0,67.14,23.09,30.0,14.0,0.0,7.0,559.3,799.0,340.0,57.26,0
190,8.13,37.1,10.0,0.0,44.8,4.6,100.1,80.0,0.0,494.0,178.9,30.03,0
191,8.07,35.1,18.0,0.0,52.1,4.8,117.1,78.0,0.0,537.0,186.0,32.9,0
192,8.16,38.3,23.0,0.0,50.5,5.3,103.9,90.0,0.0,562.0,215.9,35.02,0
193,8.34,37.4,25.0,0.0,55.6,5.0,111.0,81.1,0.0,570.0,202.5,35.24,0
194,8.35,40.4,18.0,0.0,53.2,5.6,115.7,77.4,0.0,598.0,192.3,34.48,0
195,8.22,51.1,13.0,0.0,59.0,10.6,80.2,77.0,0.0,629.0,210.3,36.99,0
196,8.51,44.3,14.0,0.0,67.6,6.0,77.7,76.4,0.0,666.0,188.6,33.33,0
197,8.59,49.4,10.0,0.0,74.3,6.5,109.4,62.5,0.0,656.0,165.6,33.93,0
198,8.31,49.4,50.0,0.0,79.8,6.5,81.3,65.5,0.0,588.0,165.6,39.52,0
199,8.45,49.4,10.0,0.0,82.1,6.5,84.7,67.1,0.0,615.0,165.6,32.77,0
200,8.76,48.0,30.0,0.0,86.3,7.0,81.05,74.21,0.0,608.8,179.84,37.5,0
201,8.64,54.0,20.0,0.0,85.0,7.4,113.07,76.5,0.0,627.2,186.5,37.91,0
202,8.87,50.0,30.0,0.0,86.4,7.0,145.7,70.37,0.0,654.7,205.37,41.59,0
203,8.61,53.0,40.0,0.0,95.2,7.7,140.11,74.75,0.0,639.6,220.13,44.29,0
204,8.23,68.0,50.0,0.0,85.7,8.5,143.14,72.51,0.0,672.5,229.54,47.31,0
205,8.28,57.75,20.0,0.0,91.8,8.79,149.27,70.55,0.0,683.0,207.23,41.46,0
206,8.01,58.13,30.0,0.0,96.7,7.61,135.77,89.75,0.0,711.2,235.01,43.03,0
207,8.11,57.9,30.0,0.0,92.4,7.88,136.15,49.12,0.0,695.0,190.67,41.03,0
208,7.96,54.7,80.0,0.0,83.5,7.44,124.85,76.0,0.0,648.5,177.81,48.57,0
209,8.27,57.41,20.0,0.0,86.4,8.07,132.58,74.0,0.0,652.0,180.89,39.07,0
210,7.93,61.0,30.0,0.0,76.0,8.3,125.51,78.0,0.0,633.8,162.8,39.7,0
211,7.64,56.0,30.0,0.0,78.5,9.2,132.63,78.0,0.0,648.8,156.96,40.18,0
212,7.17,59.0,240.0,0.0,75.4,8.8,138.07,74.0,0.0,656.4,191.32,78.92,0
213,8.59,72.3,30.0,0.0,81.1,10.27,137.95,76.0,0.0,634.6,199.89,44.13,0
214,8.71,60.04,20.0,0.0,82.2,8.37,135.75,86.0,0.0,665.7,198.0,40.65,0
215,8.75,85.84,10.0,0.0,76.8,12.8,135.17,84.0,0.0,665.6,204.12,43.36,0
216,8.4,85.84,17.97,0.0,75.7,0.0,135.29,68.0,0.0,663.8,185.68,33.9,0
217,8.27,52.0,62.5,0.0,93.1,7.8,127.94,74.0,0.0,658.8,151.23,45.47,0
218,8.47,58.25,51.0,0.0,90.9,8.07,134.79,90.0,0.0,656.2,165.88,45.03,0
219,8.13,58.25,5.01,0.0,94.8,0.0,125.88,0.0,0.0,663.7,175.91,28.65,0
220,7.88,55.09,32.5,0.0,82.1,7.77,121.97,58.54,0.0,677.2,145.56,38.81,0
221,8.06,46.0,137.26,0.0,66.1,8.2,127.0,51.66,0.0,473.5,144.04,56.43,0
222,7.64,18.0,148.01,0.0,28.82,5.0,64.0,27.26,0.0,279.4,96.36,47.37,0
223,7.25,13.91,104.44,0.0,13.0,4.68,62.72,26.55,0.0,245.1,82.45,37.5,0
224,7.57,17.41,35.07,0.0,33.84,3.81,88.61,72.03,0.0,355.0,86.07,28.02,0
225,7.95,25.52,41.98,0.0,0.0,4.51,94.9,78.3,0.0,440.2,102.89,30.87,0
226,8.0,27.57,35.8,0.0,38.75,4.37,95.51,98.87,0.0,513.3,107.24,31.88,0
227,8.1,39.57,10.0,0.0,64.99,5.79,104.47,81.71,0.0,1615.0,145.09,36.83,0
228,8.31,43.12,22.72,0.0,42.17,6.1,103.67,92.0,0.0,606.2,209.95,35.77,0
229,8.02,45.19,56.88,0.0,44.96,5.89,113.25,115.27,0.0,632.0,163.45,41.31,0
230,7.99,45.19,30.25,0.0,49.02,5.89,122.1,91.38,0.0,657.2,163.45,36.67,0
231,8.27,45.19,61.0,0.0,92.94,5.89,329.06,91.19,0.0,676.0,183.67,53.97,0
232,8.05,54.0,64.2,0.0,68.81,7.2,106.15,63.71,0.0,682.0,187.84,44.53,0
233,8.05,62.0,247.67,0.0,88.37,7.5,115.98,99.48,0.0,704.6,249.33,82.16,0
